,T,INP,start,end
1,,,2016-10-05 14:39:00,2016-10-05 13:39:00
2,-18.29,0.432924773388,2016-10-05 14:39:00,2016-10-05 13:39:00
3,-19.78,0.87739555809,2016-10-05 14:39:00,2016-10-05 13:39:00
4,-20.32,1.33404512789,2016-10-05 14:39:00,2016-10-05 13:39:00
5,-20.86,1.803559744,2016-10-05 14:39:00,2016-10-05 13:39:00
6,-21.27,2.28668535856,2016-10-05 14:39:00,2016-10-05 13:39:00
7,-21.57,2.78423474439,2016-10-05 14:39:00,2016-10-05 13:39:00
8,-21.86,3.29709572217,2016-10-05 14:39:00,2016-10-05 13:39:00
9,-22.02,3.82624069408,2016-10-05 14:39:00,2016-10-05 13:39:00
10,-22.09,4.37273774112,2016-10-05 14:39:00,2016-10-05 13:39:00
11,-22.22,5.52261893257,2016-10-05 14:39:00,2016-10-05 13:39:00
12,-22.27,6.12874633542,2016-10-05 14:39:00,2016-10-05 13:39:00
13,-22.35,6.7577518018,2016-10-05 14:39:00,2016-10-05 13:39:00
14,-22.37,7.41143035436,2016-10-05 14:39:00,2016-10-05 13:39:00
15,-22.55,8.80112383667,2016-10-05 14:39:00,2016-10-05 13:39:00
16,-22.68,10.3173201401,2016-10-05 14:39:00,2016-10-05 13:39:00
17,-22.76,11.1304895429,2016-10-05 14:39:00,2016-10-05 13:39:00
18,-22.89,11.9853777827,2016-10-05 14:39:00,2016-10-05 13:39:00
19,-22.91,13.8391383679,2016-10-05 14:39:00,2016-10-05 13:39:00
20,-23.09,14.8495487315,2016-10-05 14:39:00,2016-10-05 13:39:00
21,-23.1,15.9251907505,2016-10-05 14:39:00,2016-10-05 13:39:00
22,-23.12,17.0750719419,2016-10-05 14:39:00,2016-10-05 13:39:00
23,-23.14,18.3102048111,2016-10-05 14:39:00,2016-10-05 13:39:00
24,-23.31,19.644249939,2016-10-05 14:39:00,2016-10-05 13:39:00
25,-23.43,22.6829425523,2016-10-05 14:39:00,2016-10-05 13:39:00
26,-23.72,26.4020017408,2016-10-05 14:39:00,2016-10-05 13:39:00
27,-23.75,28.6275249512,2016-10-05 14:39:00,2016-10-05 13:39:00
28,-23.79,31.1967029484,2016-10-05 14:39:00,2016-10-05 13:39:00
29,-23.89,34.2353955616,2016-10-05 14:39:00,2016-10-05 13:39:00
30,-24.09,37.9544547502,2016-10-05 14:39:00,2016-10-05 13:39:00
31,-24.32,49.5069077595,2016-10-05 14:39:00,2016-10-05 13:39:00
32,-24.42,61.0593607688,2016-10-05 14:39:00,2016-10-05 13:39:00
33,,,2016-10-05 12:18:00,2016-10-05 11:16:00
34,-17.92,0.48149940564,2016-10-05 12:18:00,2016-10-05 11:16:00
35,-20.65,0.97781648091,2016-10-05 12:18:00,2016-10-05 11:16:00
36,-21.26,1.48989226018,2016-10-05 12:18:00,2016-10-05 11:16:00
37,-21.48,2.01876037023,2016-10-05 12:18:00,2016-10-05 11:16:00
38,-21.75,2.5655595908,2016-10-05 12:18:00,2016-10-05 11:16:00
39,-21.91,3.13154862002,2016-10-05 12:18:00,2016-10-05 11:16:00
40,-22.16,3.718123526,2016-10-05 12:18:00,2016-10-05 11:16:00
41,-22.23,4.32683849346,2016-10-05 12:18:00,2016-10-05 11:16:00
42,-22.38,4.9594306411,2016-10-05 12:18:00,2016-10-05 11:16:00
43,-22.59,5.61784990755,2016-10-05 12:18:00,2016-10-05 11:16:00
44,-22.83,6.3042953014,2016-10-05 12:18:00,2016-10-05 11:16:00
45,-22.92,7.02125921384,2016-10-05 12:18:00,2016-10-05 11:16:00
46,-23.01,7.77158204666,2016-10-05 12:18:00,2016-10-05 11:16:00
47,-23.04,8.55852017842,2016-10-05 12:18:00,2016-10-05 11:16:00
48,-23.12,10.2578833342,2016-10-05 12:18:00,2016-10-05 11:16:00
49,-23.37,11.1797932348,2016-10-05 12:18:00,2016-10-05 11:16:00
50,-23.52,12.1576097157,2016-10-05 12:18:00,2016-10-05 11:16:00
51,-23.61,13.1985536051,2016-10-05 12:18:00,2016-10-05 11:16:00
52,-23.71,14.3113418549,2016-10-05 12:18:00,2016-10-05 11:16:00
53,-23.93,15.5066317283,2016-10-05 12:18:00,2016-10-05 11:16:00
54,-24.0,16.7976431424,2016-10-05 12:18:00,2016-10-05 11:16:00
55,-24.01,18.2010524487,2016-10-05 12:18:00,2016-10-05 11:16:00
56,-24.09,19.7383134133,2016-10-05 12:18:00,2016-10-05 11:16:00
57,-24.26,21.437676569,2016-10-05 12:18:00,2016-10-05 11:16:00
58,-24.4,23.3374029506,2016-10-05 12:18:00,2016-10-05 11:16:00
