,Log10 INPs,Wind speed,Max gust direction,Max gust speed, Max Gust Ctime,Dry Bulb T,Dew Point T,Grass T,Concrete T,Soil T,Rainfall Total,Radiation Total,Humidity,rain_past_hour,APS Total,SMPS Total,demott
Log10 INPs,1.0,0.0722749185605,0.0598867293717,0.105053351939,0.172231733846,-0.170219891136,-0.0636423556605,-0.277667681373,-0.331363948011,-0.22338233194,-0.103431550686,-0.278309974162,0.109886177688,-0.163102636594,-0.270770762227,-0.300902144725,-0.183409224635
Wind speed,0.0722749185605,1.0,-0.0856795276823,0.925992758919,0.00377562047682,0.397442979245,-0.110695530097,0.343583008402,0.339198908387,0.417897703874,-0.485151835831,0.254786523533,-0.568838694149,-0.300039182463,-0.365893505395,-0.33081617798,-0.45582902372
Max gust direction,0.0598867293717,-0.0856795276823,1.0,0.0576686706378,0.12779617637,-0.201004202816,-0.0342497690863,-0.269260998334,-0.292045821123,-0.270248155335,-0.0999907754865,-0.0389203371193,0.172327161915,0.0263715612305,-0.00643506959761,-0.0247858996261,0.0955596092229
Max gust speed,0.105053351939,0.925992758919,0.0576686706378,1.0,0.0939907906086,0.28530753763,-0.158757186323,0.228965356114,0.210192460451,0.278706252181,-0.435298991722,0.268706124418,-0.506582688081,-0.302889340211,-0.400834914522,-0.41544366727,-0.534577067283
 Max Gust Ctime,0.172231733846,0.00377562047682,0.12779617637,0.0939907906086,1.0,-0.178076964151,-0.286152153585,-0.296700719118,-0.300892839223,0.0647324306351,-0.0292390467074,0.585248557713,-0.134670930437,-0.299047931778,0.051505286975,0.0521901041971,0.0710843001905
Dry Bulb T,-0.170219891136,0.397442979245,-0.201004202816,0.28530753763,-0.178076964151,1.0,0.62610524079,0.89818487579,0.797328816412,0.815227453711,-0.316397019326,0.161369713143,-0.393432973268,-0.391830106011,-0.134515252879,0.0311325472261,-0.113704237173
Dew Point T,-0.0636423556605,-0.110695530097,-0.0342497690863,-0.158757186323,-0.286152153585,0.62610524079,1.0,0.37366502553,0.215283220177,0.36064567894,0.0740299868454,-0.44659894862,0.469704999204,0.0141178522812,0.125590877395,0.297902621656,0.218065127878
Grass T,-0.277667681373,0.343583008402,-0.269260998334,0.228965356114,-0.296700719118,0.89818487579,0.37366502553,1.0,0.968889267516,0.797653828693,-0.321617901334,0.328439823648,-0.573528625688,-0.346267000004,-0.172739585841,-0.0767352634826,-0.183453261968
Concrete T,-0.331363948011,0.339198908387,-0.292045821123,0.210192460451,-0.300892839223,0.797328816412,0.215283220177,0.968889267516,1.0,0.779160456425,-0.306719910755,0.416946792917,-0.643677297686,-0.324209270033,-0.175797694865,-0.115946813107,-0.180010453956
Soil T,-0.22338233194,0.417897703874,-0.270248155335,0.278706252181,0.0647324306351,0.815227453711,0.36064567894,0.797653828693,0.779160456425,1.0,-0.0714263367071,0.492299625479,-0.485226268702,-0.312494038693,-0.24481924873,0.0739014683064,-0.183963006113
Rainfall Total,-0.103431550686,-0.485151835831,-0.0999907754865,-0.435298991722,-0.0292390467074,-0.316397019326,0.0740299868454,-0.321617901334,-0.306719910755,-0.0714263367071,1.0,-0.134818027859,0.448426649579,0.647862905295,-0.106754940855,0.080611263914,-0.113857641965
Radiation Total,-0.278309974162,0.254786523533,-0.0389203371193,0.268706124418,0.585248557713,0.161369713143,-0.44659894862,0.328439823648,0.416946792917,0.492299625479,-0.134818027859,1.0,-0.703317906798,-0.335155005775,-0.286603468708,-0.192145965972,-0.285472842663
Humidity,0.109886177688,-0.568838694149,0.172327161915,-0.506582688081,-0.134670930437,-0.393432973268,0.469704999204,-0.573528625688,-0.643677297686,-0.485226268702,0.448426649579,-0.703317906798,1.0,0.471520478063,0.299788990427,0.349475469605,0.388713728561
rain_past_hour,-0.163102636594,-0.300039182463,0.0263715612305,-0.302889340211,-0.299047931778,-0.391830106011,0.0141178522812,-0.346267000004,-0.324209270033,-0.312494038693,0.647862905295,-0.335155005775,0.471520478063,1.0,0.0199703993915,0.150861255923,0.0734310917146
APS Total,-0.270770762227,-0.365893505395,-0.00643506959761,-0.400834914522,0.051505286975,-0.134515252879,0.125590877395,-0.172739585841,-0.175797694865,-0.24481924873,-0.106754940855,-0.286603468708,0.299788990427,0.0199703993915,1.0,0.901838032045,0.926856721074
SMPS Total,-0.300902144725,-0.33081617798,-0.0247858996261,-0.41544366727,0.0521901041971,0.0311325472261,0.297902621656,-0.0767352634826,-0.115946813107,0.0739014683064,0.080611263914,-0.192145965972,0.349475469605,0.150861255923,0.901838032045,1.0,0.904392962642
demott,-0.183409224635,-0.45582902372,0.0955596092229,-0.534577067283,0.0710843001905,-0.113704237173,0.218065127878,-0.183453261968,-0.180010453956,-0.183963006113,-0.113857641965,-0.285472842663,0.388713728561,0.0734310917146,0.926856721074,0.904392962642,1.0
