,Log10 INPs,Wind speed,Max gust direction,Max gust speed, Max Gust Ctime,Dry Bulb T,Dew Point T,Grass T,Concrete T,Soil T,Rainfall Total,Radiation Total,Humidity,rain_past_hour,APS Total,SMPS Total,demott,meyers
Log10 INPs,1.0,0.112706814728,-0.198756553436,0.109901048292,0.259124066685,-0.152781007572,-0.141014474396,-0.224384350459,-0.266613039529,-0.0516001763917,0.151619746705,-0.0529289742267,0.0328126181468,0.0236489101672,-0.110651651858,0.00858160409693,-0.152374492164,
Wind speed,0.112706814728,1.0,0.0392898425702,0.917999200129,0.0115146650778,0.401015007452,0.0411872699385,0.260081350215,0.20336623628,0.41575036382,-0.408069365266,0.210550405442,-0.473921418456,-0.255048935132,-0.382893611362,-0.311298911899,-0.454910747752,
Max gust direction,-0.198756553436,0.0392898425702,1.0,0.128285783886,0.176074928617,-0.2004182619,-0.133456693277,-0.27282813542,-0.288900401041,-0.211327441058,-0.112765629384,0.0663889819012,0.0760817852247,0.0453328580883,-0.0568186811158,-0.126078818777,-0.0407383948017,
Max gust speed,0.109901048292,0.917999200129,0.128285783886,1.0,0.109230321965,0.292356785063,-0.0450329560447,0.167729817365,0.109914585596,0.280238855159,-0.364048439407,0.265356788391,-0.450183174484,-0.268150438365,-0.411539782971,-0.395259611604,-0.501040023489,
 Max Gust Ctime,0.259124066685,0.0115146650778,0.176074928617,0.109230321965,1.0,-0.240838293296,-0.238201628913,-0.433045356169,-0.435535254988,0.00942018606656,0.130373733779,0.51666434892,0.00856954204931,-0.148271098434,0.0570652234605,0.0738733831276,0.0282300793895,
Dry Bulb T,-0.152781007572,0.401015007452,-0.2004182619,0.292356785063,-0.240838293296,1.0,0.724886470539,0.881828428052,0.770574850038,0.808670494229,-0.313868036923,0.0965832836336,-0.385206294367,-0.387096493958,-0.0786745286576,0.0883458794906,-0.0564470715693,
Dew Point T,-0.141014474396,0.0411872699385,-0.133456693277,-0.0450329560447,-0.238201628913,0.724886470539,1.0,0.476567476352,0.322444884648,0.498490875676,-0.0360099112407,-0.375211831771,0.355629154275,-0.0586874113384,0.112757776796,0.311576871745,0.178443009818,
Grass T,-0.224384350459,0.260081350215,-0.27282813542,0.167729817365,-0.433045356169,0.881828428052,0.476567476352,1.0,0.968912837498,0.74043896535,-0.333033560804,0.241759109223,-0.555297351151,-0.364579653396,-0.0390167220939,-0.0142040353162,-0.0303768675751,
Concrete T,-0.266613039529,0.20336623628,-0.288900401041,0.109914585596,-0.435535254988,0.770574850038,0.322444884648,0.968912837498,1.0,0.706016970589,-0.305136664058,0.339300055355,-0.608376762565,-0.329532534542,-0.0147116662679,-0.0546104362103,-0.0125763374649,
Soil T,-0.0516001763917,0.41575036382,-0.211327441058,0.280238855159,0.00942018606656,0.808670494229,0.498490875676,0.74043896535,0.706016970589,1.0,0.000666763453317,0.44180588779,-0.413759767018,-0.248773492208,-0.205435421702,0.158705779251,-0.208289325048,
Rainfall Total,0.151619746705,-0.408069365266,-0.112765629384,-0.364048439407,0.130373733779,-0.313868036923,-0.0360099112407,-0.333033560804,-0.305136664058,0.000666763453317,1.0,0.0249075378855,0.38402218574,0.680310267703,-0.17604762972,0.06233288246,-0.157198603946,
Radiation Total,-0.0529289742267,0.210550405442,0.0663889819012,0.265356788391,0.51666434892,0.0965832836336,-0.375211831771,0.241759109223,0.339300055355,0.44180588779,0.0249075378855,1.0,-0.626503810726,-0.266303882111,-0.264727033304,-0.175687411012,-0.325082279254,
Humidity,0.0328126181468,-0.473921418456,0.0760817852247,-0.450183174484,0.00856954204931,-0.385206294367,0.355629154275,-0.555297351151,-0.608376762565,-0.413759767018,0.38402218574,-0.626503810726,1.0,0.457949591936,0.250962398769,0.327701241137,0.308281942622,
rain_past_hour,0.0236489101672,-0.255048935132,0.0453328580883,-0.268150438365,-0.148271098434,-0.387096493958,-0.0586874113384,-0.364579653396,-0.329532534542,-0.248773492208,0.680310267703,-0.266303882111,0.457949591936,1.0,-0.0663407968526,0.0779863064604,-0.0266797045979,
APS Total,-0.110651651858,-0.382893611362,-0.0568186811158,-0.411539782971,0.0570652234605,-0.0786745286576,0.112757776796,-0.0390167220939,-0.0147116662679,-0.205435421702,-0.17604762972,-0.264727033304,0.250962398769,-0.0663407968526,1.0,0.897541284417,0.981938884908,
SMPS Total,0.00858160409693,-0.311298911899,-0.126078818777,-0.395259611604,0.0738733831276,0.0883458794906,0.311576871745,-0.0142040353162,-0.0546104362103,0.158705779251,0.06233288246,-0.175687411012,0.327701241137,0.0779863064604,0.897541284417,1.0,0.910099013548,
demott,-0.152374492164,-0.454910747752,-0.0407383948017,-0.501040023489,0.0282300793895,-0.0564470715693,0.178443009818,-0.0303768675751,-0.0125763374649,-0.208289325048,-0.157198603946,-0.325082279254,0.308281942622,-0.0266797045979,0.981938884908,0.910099013548,1.0,
meyers,,,,,,,,,,,,,,,,,,
